response_id,date_submitted,last_page,start_language,seed,what_industry_does_your_company_belong_to,what_industry_does_your_company_belong_to_other,what_is_your_role_in_the_company,what_is_your_role_in_the_company_other,what_is_the_size_of_your_company,natural_disasters,supplier_failures,cybersecurity_threats,global_crises,transportation_delays,which_types_of_disruptions_have_significantly_impacted_your_supply_chain_in_the_past_five_years_select_all_that_apply_other,how_did_your_company_respond_to_these_disruptions_select_all_that_apply_increased_inventory_buffers,how_did_your_company_respond_to_these_disruptions_select_all_that_apply_diversified_suppliers,how_did_your_company_respond_to_these_disruptions_select_all_that_apply_implemented_new_technologies,how_did_your_company_respond_to_these_disruptions_select_all_that_apply_other,which_technologies_does_your_company_currently_use_for_supply_chain_resilience_select_all_that_apply_artificial_intelligence_ai,which_technologies_does_your_company_currently_use_for_supply_chain_resilience_select_all_that_apply_internet_of_things_iot,which_technologies_does_your_company_currently_use_for_supply_chain_resilience_select_all_that_apply_blockchain,which_technologies_does_your_company_currently_use_for_supply_chain_resilience_select_all_that_apply_cloud_computing,which_technologies_does_your_company_currently_use_for_supply_chain_resilience_select_all_that_apply_robotics_amp_automation,which_technologies_does_your_company_currently_use_for_supply_chain_resilience_select_all_that_apply_big_data_analytics,which_technologies_does_your_company_currently_use_for_supply_chain_resilience_select_all_that_apply_simulation,which_technologies_does_your_company_currently_use_for_supply_chain_resilience_select_all_that_apply_other,to_what_extent_has_your_company_implemented_the_following_technologies_likert_scale_1_not_implemented_5_fully_implemented_ai,to_what_extent_has_your_company_implemented_the_following_technologies_likert_scale_1_not_implemented_5_fully_implemented_iot,to_what_extent_has_your_company_implemented_the_following_technologies_likert_scale_1_not_implemented_5_fully_implemented_blockchain,to_what_extent_has_your_company_implemented_the_following_technologies_likert_scale_1_not_implemented_5_fully_implemented_cloud_computing,to_what_extent_has_your_company_implemented_the_following_technologies_likert_scale_1_not_implemented_5_fully_implemented_robotics_amp_automation,to_what_extent_has_your_company_implemented_the_following_technologies_likert_scale_1_not_implemented_5_fully_implemented_big_data_analytics,which_of_these_technologies_have_had_the_most_positive_impact_on_supply_chain_resilience_rank_from_most_to_least_effective_rank_1,which_of_these_technologies_have_had_the_most_positive_impact_on_supply_chain_resilience_rank_from_most_to_least_effective_rank_2,which_of_these_technologies_have_had_the_most_positive_impact_on_supply_chain_resilience_rank_from_most_to_least_effective_rank_3,which_of_these_technologies_have_had_the_most_positive_impact_on_supply_chain_resilience_rank_from_most_to_least_effective_rank_4,which_of_these_technologies_have_had_the_most_positive_impact_on_supply_chain_resilience_rank_from_most_to_least_effective_rank_5,which_of_these_technologies_have_had_the_most_positive_impact_on_supply_chain_resilience_rank_from_most_to_least_effective_rank_6,which_of_these_technologies_have_had_the_most_positive_impact_on_supply_chain_resilience_rank_from_most_to_least_effective_rank_7,if_you_selected_other_in_the_previous_question_please_specify_the_technology_otherwise_you_may_leave_this_blank,what_were_the_main_challenges_in_implementing_these_technologies_select_all_that_apply_high_implementation_costs,what_were_the_main_challenges_in_implementing_these_technologies_select_all_that_apply_lack_of_skilled_workforce,what_were_the_main_challenges_in_implementing_these_technologies_select_all_that_apply_integration_issues,what_were_the_main_challenges_in_implementing_these_technologies_select_all_that_apply_resistance_to_change,what_were_the_main_challenges_in_implementing_these_technologies_select_all_that_apply_other,to_what_extent_have_new_technologies_improved_communication_and_coordination_with_your_suppliers_and_partners_1_not_at_all_2_slightly_3_moderately_4_highly_5_very_high,which_technologies_have_enhanced_collaboration_in_your_supply_chain_cloud_based_platforms_e_g_erp_scm_software,which_technologies_have_enhanced_collaboration_in_your_supply_chain_blockchain_for_transparency,which_technologies_have_enhanced_collaboration_in_your_supply_chain_ai_powered_predictive_analytics,which_technologies_have_enhanced_collaboration_in_your_supply_chain_iot_for_real_time_tracking,which_technologies_have_enhanced_collaboration_in_your_supply_chain_digital_twin_amp_simulations,which_technologies_have_enhanced_collaboration_in_your_supply_chain_other,how_effectively_have_new_technologies_helped_in_information_sharing_and_real_time_decision_making_across_your_supply_chain_1_not_at_all_2_slightly_3_moderately_4_highly_5_very_high,what_are_the_biggest_barriers_preventing_further_adoption_of_these_technologies_select_all_that_apply_financial_constraints,what_are_the_biggest_barriers_preventing_further_adoption_of_these_technologies_select_all_that_apply_technical_challenges,what_are_the_biggest_barriers_preventing_further_adoption_of_these_technologies_select_all_that_apply_regulatory_issues,what_are_the_biggest_barriers_preventing_further_adoption_of_these_technologies_select_all_that_apply_uncertainty_about_roi,what_are_the_biggest_barriers_preventing_further_adoption_of_these_technologies_select_all_that_apply_other,are_there_any_emerging_technologies_your_company_is_considering_for_future_adoption,do_you_have_any_further_insights_on_how_technology_can_improve_supply_chain_resilience,industry_group,disruption_count,tech_adoption_count,resilience_score,high_tech_company,company_size_num
18,1/1/1980 0:00,8.0,en,1525623172,other,Food processing plant ,Other,Machine operator ,large,True,False,False,False,False,True,No,No,Yes,2,False,False,False,False,True,False,False,True,2.0,2.0,3.0,3.0,5.0,4.0,Robotics & Automation,,,,,,,nil,Yes,No,No,No,2.0,4.0,No,No,No,No,Yes,2,4.0,No,Yes,No,No,2,Yei,yes,other,1,2,4.0,False,750
19,1/1/1980 0:00,8.0,en,1552933143,other,Food Manufacturing,Other,Machine Operator,large,False,False,False,True,False,True,No,No,Yes,2,False,False,False,False,False,True,False,True,4.0,4.0,4.0,4.0,4.0,4.0,Big Data Analytics,Cloud Computing,,,,,,t,No,No,Yes,No,2.0,4.0,Yes,No,No,No,No,2,4.0,No,Yes,No,No,2,A,i,other,1,2,4.0,False,750
20,,7.0,en,466398761,consumer goods,,Operations Manager,,large,True,False,False,False,False,True,No,Yes,No,2,False,False,False,False,True,False,False,True,1.0,3.0,3.0,3.0,2.0,2.0,Robotics & Automation,Cloud Computing,,,,,,k,No,Yes,No,No,2.0,3.0,No,No,Yes,No,No,2,4.0,Yes,No,No,No,2,Ok,not,manufacturing,1,2,3.5,False,750
21,,,en,877521008,other,,,,medium,False,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,0,0,,False,275
22,,,en,364426011,other,,,,medium,False,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,0,0,,False,275
23,,,en,331670082,other,,,,medium,False,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,0,0,,False,275
24,,2.0,en,772968137,other,Freight Forwarding Agents,Other,Ops Executive ,large,True,False,False,False,True,True,No,No,Yes,Shipment movement like Routing re arranged ,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,No,No,No,No,2.0,,,,,,,,,,,,,,,,other,2,1,,False,750
25,1/1/1980 0:00,8.0,en,503815942,consumer goods,,Other,,large,False,False,False,True,False,True,No,No,Yes,2,False,True,False,True,False,True,False,True,4.0,4.0,4.0,4.0,4.0,4.0,AI,Cloud Computing,Big Data Analytics,IoT,,,,a,Yes,No,No,No,2.0,4.0,No,No,Yes,No,No,2,4.0,Yes,Yes,No,No,2,G,kl,manufacturing,1,4,4.0,True,750
26,,2.0,en,2051604117,automotive,,Other,TEAM LEADER LOGISTICS,medium,True,False,False,True,False,True,Yes,No,No,2,True,False,False,False,False,True,False,True,2.0,2.0,1.0,3.0,2.0,3.0,,,,,,,,,No,No,No,No,2.0,,,,,,,,,,,,,,,,manufacturing,2,3,,True,275
27,1/1/1980 0:00,8.0,en,1249156505,other,Oil and gas ,Other,Modular fabrication ,large,False,True,False,False,False,True,No,Yes,No,2,False,False,False,False,False,True,False,True,1.0,1.0,1.0,1.0,3.0,3.0,AI,Big Data Analytics,Robotics & Automation,Blockchain,Cloud Computing,,,blank,No,Yes,No,No,2.0,4.0,Yes,No,No,No,No,2,4.0,No,Yes,No,No,2,No,no,other,1,2,4.0,True,750
28,1/1/1980 0:00,8.0,en,1623405075,automotive,,Other,LOGISTICS TEAM LEADER,medium,True,False,False,False,True,True,Yes,No,No,2,True,False,False,False,False,False,False,True,2.0,2.0,2.0,2.0,3.0,3.0,Robotics & Automation,Big Data Analytics,AI,Cloud Computing,IoT,Blockchain,Simulation,wms,Yes,Yes,Yes,Yes,2.0,5.0,Yes,No,No,No,No,2,4.0,Yes,Yes,Yes,Yes,2,"ROBOTICA AND AUTOMATION, ","advanced forecasting and reshoring tools, sustainability technology",manufacturing,2,2,4.5,False,275
29,,,en,782150203,other,,,,medium,False,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,0,0,,False,275
30,,2.0,en,2037074788,other,Production -Chemical fertilizers,Other,SUPERVISOR,large,True,False,False,False,False,True,Yes,No,No,2,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,1,0,,False,750
31,1/1/1980 0:00,8.0,en,184196996,other,Chemical - FERTILIZERS,Other,Supervisor,large,False,False,False,True,False,True,Yes,No,No,2,False,False,False,False,True,False,False,True,1.0,1.0,1.0,1.0,2.0,1.0,AI,Robotics & Automation,IoT,Simulation,Cloud Computing,Big Data Analytics,Blockchain,robotics and automation,Yes,Yes,Yes,No,2.0,2.0,No,No,Yes,No,No,2,3.0,Yes,No,No,No,2,Not yet,no futher insights,other,1,2,2.5,False,750
32,1/1/1980 0:00,8.0,en,2116090403,consumer goods,,Other,Machine operator ,large,False,False,False,True,False,True,No,No,Yes,2,False,False,False,False,True,False,True,True,5.0,5.0,5.0,5.0,5.0,5.0,Robotics & Automation,Blockchain,Big Data Analytics,IoT,Simulation,AI,Cloud Computing,yes,Yes,No,No,No,2.0,4.0,No,Yes,No,No,No,2,4.0,No,Yes,No,No,2,Yes ,yes,manufacturing,1,3,4.0,True,750
33,1/1/1980 0:00,8.0,de-easy,1849931561,electronics,,Other,Global head of planning,large,False,True,True,True,False,True,Yes,Yes,Yes,2,True,True,False,False,True,True,False,True,3.0,4.0,1.0,1.0,4.0,4.0,Big Data Analytics,Simulation,AI,Robotics & Automation,Cloud Computing,IoT,Other,,No,Yes,No,Yes,2.0,2.0,Yes,No,No,No,No,2,3.0,No,No,No,No,"ArbeitskrÃ¤ftemangel, c Level Kenntnisse in Transformation",Ki ,3d printing,manufacturing,3,5,2.5,True,750
34,,2.0,en,279363455,consumer goods,,Other,,large,False,False,False,True,False,True,No,No,Yes,2,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manufacturing,1,0,,False,750
35,1/1/1980 0:00,8.0,en,271181504,automotive,,Other,Production line leader ,medium,False,False,False,True,False,True,No,Yes,No,2,False,False,False,False,True,False,False,True,4.0,4.0,4.0,4.0,4.0,4.0,Robotics & Automation,,,,,,,,No,No,Yes,No,2.0,4.0,No,No,No,No,Yes,2,4.0,No,Yes,No,No,2,Robots ,yes,manufacturing,1,2,4.0,False,275
36,1/1/1980 0:00,8.0,en,541527733,consumer goods,,Other,Operator ,large,False,False,False,True,False,True,No,Yes,No,2,True,False,False,False,False,False,False,True,4.0,4.0,4.0,4.0,4.0,4.0,AI,Cloud Computing,Simulation,Robotics & Automation,Other,IoT,Big Data Analytics,,No,Yes,No,No,2.0,4.0,No,No,No,No,Yes,2,4.0,No,Yes,No,No,2,Yes ,yes,manufacturing,1,2,4.0,False,750
37,1/1/1980 0:00,8.0,en,1971416267,consumer goods,,IT Specialist,,large,False,False,False,True,False,True,No,No,Yes,2,False,False,False,False,False,True,False,True,2.0,4.0,1.0,5.0,3.0,4.0,,,,,,,,,Yes,No,No,No,2.0,4.0,No,No,No,No,Yes,2,4.0,Yes,No,No,No,2,Yes,yes,manufacturing,1,2,4.0,False,750
38,,7.0,en,392198932,consumer goods,,IT Specialist,,large,False,False,False,True,False,True,Yes,Yes,Yes,2,False,False,False,False,True,False,False,True,4.0,,,,,,Other,IoT,Robotics & Automation,Big Data Analytics,Blockchain,Simulation,Cloud Computing,yes,No,Yes,No,No,2.0,4.0,No,No,Yes,No,No,2,4.0,Yes,No,No,No,2,Yes ,yes,manufacturing,1,2,4.0,False,750
39,1/1/1980 0:00,8.0,en,1504073990,consumer goods,,Supply Chain Manager,,large,False,True,True,True,False,True,Yes,Yes,Yes,2,False,False,False,False,False,True,True,True,3.0,2.0,2.0,5.0,4.0,4.0,Robotics & Automation,AI,Simulation,Cloud Computing,Big Data Analytics,IoT,Blockchain,,No,No,Yes,Yes,2.0,3.0,Yes,No,Yes,No,No,2,3.0,No,Yes,No,Yes,2,,,manufacturing,3,3,3.0,True,750
40,1/1/1980 0:00,8.0,de-easy,1679940329,other,SanitÃ¤r-Heizung-Klima,Supply Chain Manager,,large,False,True,True,False,True,True,Yes,Yes,No,2,False,False,False,False,True,False,False,True,1.0,1.0,1.0,3.0,3.0,3.0,Simulation,Big Data Analytics,Robotics & Automation,Other,IoT,Cloud Computing,Blockchain,,Yes,No,Yes,No,2.0,4.0,Yes,No,No,No,No,Inventory Planning Software,4.0,Yes,Yes,No,No,2,Transport Management System (TMS),,other,3,2,4.0,True,750
41,1/1/1980 0:00,8.0,en,987407662,consumer goods,,Other,Technician,large,False,False,False,True,False,True,No,No,Yes,2,False,False,False,False,True,False,False,True,,,,,,,,,,,,,,,No,No,Yes,No,2.0,,No,No,No,No,Yes,2,4.0,Yes,No,No,No,2,,,manufacturing,1,2,4.0,False,750
42,,3.0,de-easy,1298610726,other,Maschinenbau,Other,Leiter Einkauf und LieferantenqualitÃ¤tsentwicklung,medium,True,True,False,True,True,True,Yes,No,No,Alternativen Ã¼ber Prototypen,False,False,False,False,False,False,False,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,No,No,No,No,2.0,,,,,,,,,,,,,,,,other,4,1,,False,275
43,1/1/1980 0:00,8.0,de-easy,1502013715,other,Nahrungsmittel,Operations Manager,,medium,False,False,False,True,False,True,Yes,No,No,2,False,False,False,False,False,False,False,True,1.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,Yes,No,No,No,2.0,4.0,No,No,No,No,No,keine,,Yes,No,No,No,2,nein,nein,other,1,1,4.0,False,275
44,1/1/1980 0:00,8.0,en,1629640390,consumer goods,,Operations Manager,,large,False,False,False,True,False,True,No,No,Yes,2,True,True,False,False,True,True,False,True,4.0,5.0,,,5.0,,Big Data Analytics,AI,Robotics & Automation,IoT,Blockchain,Simulation,Cloud Computing,,Yes,No,Yes,No,2.0,5.0,No,No,Yes,Yes,Yes,2,4.0,Yes,Yes,Yes,No,2,Virtual reality ,can eradicate or limit the damage and error though and limit the depreciation in product value to enhance the gross domestic product,manufacturing,1,5,4.5,True,750
45,,,en,232646160,other,,,,medium,False,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,0,0,,False,275
