Response_ID,page,Start_language,Industry,role,size,Disruption_Natural_Disasters,Disruption_Supplier_Failures,Disruption_Cybersecurity_Threats,Disruption_Global_Crises,Disruption_Transportation_Delays,response_Increased_Inventory_Buffers,response_Diversified_Suppliers,response_Implemented_New_Technologies,response_Other,adoption_Artificial_Intelligence_(AI),adoption_Internet_of_Things_(IoT),adoption_Blockchain,adoption_Cloud_Computing,adoption_Robotic_and_Automation,adoption_Big_Data_Analytics,adoption_Simulation,adoption_Other,implemented_AI,implemented_IoT,implemented_Blockchain,implemented_Cloud_Computing,implemented_Robotics_and_Automation,implemented_Big_Data_Analytics,effective_technology_Rank_1,effective_technology_Rank_2,effective_technology_Rank_3,effective_technology_Rank_4,effective_technology_Rank_5,effective_technology_Rank_6,effective_technology_Rank_7,barriers_High_Implementation_Costs,barriers_Lack_of_Skilled_Workforce,barriers_Integration_Issues,barriers_Resistance_to_Change,technologies_effect_in_collaboration,resilience_collaboration_Cloud-based_platforms,resilience_collaboration_Blockchain_for_transparency,resilience_collaboration_AI-powered_predictive_analytics,resilience_collaboration_IoT_for_real-time_tracking,resilience_collaboration_Digital_twin_Simulations,effect_of_technologies_in real_time_data,visibility_and_control_Rank_1,visibility_and_control_Rank_2,visibility_and_control_Rank_3,visibility_and_control_Rank_4,visibility_and_control_Rank_5,visibility_and_control_Rank_6,further_adoption_issues_Financial_Constraints,further_adoption_issues_Technical_Challenges,further_adoption_issues_Regulatory_Issues,further_adoption_issues_Uncertainty_about_ROI,Further_insights
11,2,en,Freight_Forwarding_Agents,Ops_Executive_,750,Yes,No,No,No,Yes,No,No,Yes,Shipment_movement_like_Routing_re_arranged_,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,No,No,No,No,,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,
12,8,en,Consumer_Goods,Other,750,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,AI,Cloud_Computing,Big_Data_Analytics,IoT,,,,Yes,No,No,No,4,No,No,Yes,No,No,4,Collaborative_Decision-Making_Frameworks,Scenario_Planning_and_Simulation,Real-Time_Data_Monitoring_and_Analytics,Automated_Decision_Support_Systems,Regulatory_Compliance_and_Risk_Management,B,Yes,Yes,No,No,
13,2,en,Automotive,TEAM_LEADER_LOGISTICS,500,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,2_-_Planning_to_Implement,2_-_Planning_to_Implement,"1_-_	Not_Implemented",3_-_Pilot_Conducted,2_-_Planning_to_Implement,3_-_Pilot_Conducted,,,,,,,,No,No,No,No,,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,
14,8,en,Oil_and_gas_,Modular_fabrication_,750,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,"1_-_	Not_Implemented","1_-_	Not_Implemented","1_-_	Not_Implemented","1_-_	Not_Implemented",3_-_Pilot_Conducted,3_-_Pilot_Conducted,AI,Big_Data_Analytics,Robotics_&_Automation,Blockchain,Cloud_Computing,,,No,Yes,No,No,4,Yes,No,No,No,No,4,Real-Time_Data_Monitoring_and_Analytics,Automated_Decision_Support_Systems,Scenario_Planning_and_Simulation,Regulatory_Compliance_and_Risk_Management,Collaborative_Decision-Making_Frameworks,Nothing_,No,Yes,No,No,
15,8,en,Automotive,LOGISTICS_TEAM_LEADER,500,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,WAREHOUSE_MANAGEMENT_SYSTEM_(EPG-LFS)_ERP,2_-_Planning_to_Implement,2_-_Planning_to_Implement,2_-_Planning_to_Implement,2_-_Planning_to_Implement,3_-_Pilot_Conducted,3_-_Pilot_Conducted,Robotics_&_Automation,Big_Data_Analytics,AI,Cloud_Computing,IoT,Blockchain,Simulation,Yes,Yes,Yes,Yes,5,Yes,No,No,No,No,4,Scenario_Planning_and_Simulation,Real-Time_Data_Monitoring_and_Analytics,Regulatory_Compliance_and_Risk_Management,Collaborative_Decision-Making_Frameworks,Automated_Decision_Support_Systems,.,Yes,Yes,Yes,Yes,"Advanced_Forecasting_and_Reshoring_Tools,_Sustainability_Technology"
16,2,en,Production_-Chemical_fertilizers,SUPERVISOR,750,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,
17,8,en,Chemical_-_FERTILIZERS,Supervisor,750,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"1_-_	Not_Implemented","1_-_	Not_Implemented","1_-_	Not_Implemented","1_-_	Not_Implemented",2_-_Planning_to_Implement,"1_-_	Not_Implemented",AI,Robotics_&_Automation,IoT,Simulation,Cloud_Computing,Big_Data_Analytics,Blockchain,Yes,Yes,Yes,No,2,No,No,Yes,No,No,3,Automated_Decision_Support_Systems,Real-Time_Data_Monitoring_and_Analytics,Scenario_Planning_and_Simulation,Collaborative_Decision-Making_Frameworks,Regulatory_Compliance_and_Risk_Management,Nil,Yes,No,No,No,
18,8,en,Consumer_Goods,Machine_operator_,750,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,5_-_Fully_Implemented,5_-_Fully_Implemented,5_-_Fully_Implemented,5_-_Fully_Implemented,5_-_Fully_Implemented,5_-_Fully_Implemented,Robotics_&_Automation,Blockchain,Big_Data_Analytics,IoT,Simulation,AI,Cloud_Computing,Yes,No,No,No,4,No,Yes,No,No,No,4,Real-Time_Data_Monitoring_and_Analytics,Scenario_Planning_and_Simulation,Collaborative_Decision-Making_Frameworks,Automated_Decision_Support_Systems,Regulatory_Compliance_and_Risk_Management,Yes_,No,Yes,No,No,
19,8,de-easy,Electronics,Global_head_of_planning,750,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,3_-_Pilot_Conducted,4_-_Mostly_Implemented,"1_-_	Not_Implemented","1_-_	Not_Implemented",4_-_Mostly_Implemented,4_-_Mostly_Implemented,Big_Data_Analytics,Simulation,AI,Robotics_&_Automation,Cloud_Computing,IoT,WMS,No,Yes,No,Yes,2,Yes,No,No,No,No,3,Regulatory_Compliance_and_Risk_Management,Scenario_Planning_and_Simulation,Collaborative_Decision-Making_Frameworks,Automated_Decision_Support_Systems,Real-Time_Data_Monitoring_and_Analytics,,No,No,No,No,3d_printing
20,2,en,Consumer_Goods,Other,750,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,
21,8,en,Automotive,Production_line_leader_,500,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,Robotics_&_Automation,,,,,,,No,No,Yes,No,4,No,No,No,No,Yes,4,Automated_Decision_Support_Systems,,,,Pdca,Implementation_,No,Yes,No,No,
22,8,en,Consumer_Goods,Operator_,750,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,AI,Cloud_Computing,Simulation,Robotics_&_Automation,Other,IoT,Big_Data_Analytics,No,Yes,No,No,4,No,No,No,No,Yes,4,Real-Time_Data_Monitoring_and_Analytics,Automated_Decision_Support_Systems,Scenario_Planning_and_Simulation,Collaborative_Decision-Making_Frameworks,Regulatory_Compliance_and_Risk_Management,Feedback_services_based_on_real_time_data,No,Yes,No,No,
23,8,en,Consumer_Goods,IT_Specialist,750,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,2_-_Planning_to_Implement,4_-_Mostly_Implemented,"1_-_	Not_Implemented",5_-_Fully_Implemented,3_-_Pilot_Conducted,4_-_Mostly_Implemented,,,,,,,,Yes,No,No,No,4,No,No,No,No,Yes,4,,,,,,,Yes,No,No,No,
24,7,en,Consumer_Goods,IT_Specialist,750,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,4_-_Mostly_Implemented,,,,,,Other,IoT,Robotics_&_Automation,Big_Data_Analytics,Blockchain,Simulation,Cloud_Computing,No,Yes,No,No,4,No,No,Yes,No,No,4,,,,,,,Yes,No,No,No,
25,8,en,Consumer_Goods,Supply_Chain_Manager,750,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,3_-_Pilot_Conducted,2_-_Planning_to_Implement,2_-_Planning_to_Implement,5_-_Fully_Implemented,4_-_Mostly_Implemented,4_-_Mostly_Implemented,Robotics_&_Automation,AI,Simulation,Cloud_Computing,Big_Data_Analytics,IoT,Blockchain,No,No,Yes,Yes,3,Yes,No,Yes,No,No,3,Automated_Decision_Support_Systems,Regulatory_Compliance_and_Risk_Management,Real-Time_Data_Monitoring_and_Analytics,Scenario_Planning_and_Simulation,Collaborative_Decision-Making_Frameworks,,No,Yes,No,Yes,
26,8,de-easy,Other,Supply_Chain_Manager,750,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,"1_-_	Not_Implemented","1_-_	Not_Implemented","1_-_	Not_Implemented",3_-_Pilot_Conducted,3_-_Pilot_Conducted,3_-_Pilot_Conducted,Simulation,Big_Data_Analytics,Robotics_&_Automation,Other,IoT,Cloud_Computing,Blockchain,Yes,No,Yes,No,4,Yes,No,No,No,No,4,Real-Time_Data_Monitoring_and_Analytics,Scenario_Planning_and_Simulation,Regulatory_Compliance_and_Risk_Management,Collaborative_Decision-Making_Frameworks,,"Preis-Entwicklungen_(Rohwarenpreise,_Zölle,_Mindestlohn,_Steuern,_Rabatte_etc.)",Yes,Yes,No,No,
27,8,en,Consumer_Goods,Technician,750,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,No,No,Yes,No,,No,No,No,No,Yes,4,,,,,,,Yes,No,No,No,
28,3,de-easy,Maschinenbau,Other,500,Yes,Yes,No,Yes,Yes,Yes,No,No,Alternativen_über_Prototypen,No,No,No,No,No,No,No,Lieferpläner_und_Auftragsbestätigungen,"1_-_	Not_Implemented","1_-_	Not_Implemented","1_-_	Not_Implemented","1_-_	Not_Implemented","1_-_	Not_Implemented","1_-_	Not_Implemented",,,,,,,,No,No,No,No,,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,
29,8,de-easy,Nahrungsmittel,Operations_Manager,500,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"1_-_	Not_Implemented","1_-_	Not_Implemented","1_-_	Not_Implemented",3_-_Pilot_Conducted,3_-_Pilot_Conducted,"1_-_	Not_Implemented",,,,,,,,Yes,No,No,No,4,No,No,No,No,No,,,,,,,,Yes,No,No,No,
30,8,en,Consumer_Goods,Operations_Manager,750,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,4_-_Mostly_Implemented,5_-_Fully_Implemented,,,5_-_Fully_Implemented,,Big_Data_Analytics,AI,Robotics_&_Automation,IoT,Blockchain,Simulation,Cloud_Computing,Yes,No,Yes,No,5,No,No,Yes,Yes,Yes,4,Automated_Decision_Support_Systems,Scenario_Planning_and_Simulation,Collaborative_Decision-Making_Frameworks,Regulatory_Compliance_and_Risk_Management,Real-Time_Data_Monitoring_and_Analytics,Asset_management_and_warehouse_selection,Yes,Yes,Yes,No,"can_eradicate_or_limit_the_damage_and_error_though_and_limit_the_depreciation_in_product_value_to_enhance_the_Gross_domestic_product
"
