response_id,date,page,language,seed,industry,role,company_size,natural_disasters,supplier_failures,cybersecurity_threats,global_crises,transportation_delays,other_disruptions,increased_inventory_buffers,diversified_suppliers,implemented_new_technologies,other_responses,artificial_intelligence_ai,internet_of_things_iot,blockchain,cloud_computing,robotics_and_automation,big_data_analytics,simulation,other,implemented_ai,implemented_iot,implemented_blockchain,implemented_cloud_computing,implemented_robotics_and_automation,implemented_big_data_analytics,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,high_implementation_costs,lack_of_skilled_workforce,Integration_issues,resistance_to_change,technologies_improved_communication_and_coordination,"Cloud-based_platforms_(e.g.,_ERP,_SCM_software)",blockchain_for_transparency,ai_powered_predictive_analytics,iot_for_real_time_tracking,digital_twin_amp_simulations,Inventory Planning Software,information_sharing_and_real_time_decision_making,decision-making_and_control_mechanisms_Rank_1,decision-making_and_control_mechanisms_Rank_2,decision-making_and_control_mechanisms_Rank_3,decision-making_and_control_mechanisms_Rank_4,decision-making_and_control_mechanisms_Rank_5,decision-making_and_control_mechanisms_Rank_7,decision-making_and_control_mechanisms_Rank_8,financial_constraints,technical_challenges,regulatory_issues,uncertainty_about_roi,other,emerging_technologies_adoption,further_insights
17,1/1/1980 0:00,8,en,1486095683,FMCG,Operations Manager,large,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,No,Yes,No,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,1,1,1,4,4,Robotics & Automation,,,,,,,No,Yes,No,No,3,Yes,No,No,No,No,No,4,Regulatory Compliance and Risk Management,Real-Time Data Monitoring and Analytics,Collaborative Decision-Making Frameworks,Scenario Planning and Simulation,Automated Decision Support Systems,Single chain controlling ,No ,No,Yes,No,No,2,Yes,the fast decision making using new technology and ai can solve most of the resiliences.
18,1/1/1980 0:00,8,en,1525623172,Food processing plant ,Machine operator ,large,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,No,No,Yes,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,2,3,3,5,4,Robotics & Automation,,,,,,,Yes,No,No,No,4,No,No,No,No,Yes,No,4,Real-Time Data Monitoring and Analytics,Automated Decision Support Systems,Collaborative Decision-Making Frameworks,Regulatory Compliance and Risk Management,Scenario Planning and Simulation,Yes ,"Yes 
",No,Yes,No,No,2,Yes,
19,1/1/1980 0:00,8,en,1552933143,Food Manufacturing,Machine Operator,large,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,No,No,Yes,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,4,4,4,4,4,4,Big Data Analytics,Cloud Computing,,,,,,No,No,Yes,No,4,Yes,No,No,No,No,No,4,Collaborative Decision-Making Frameworks,Automated Decision Support Systems,Real-Time Data Monitoring and Analytics,Regulatory Compliance and Risk Management,Scenario Planning and Simulation,F,U,No,Yes,No,No,2,A,
20,,7,en,466398761,consumer goods,Operations Manager,large,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,No,Yes,No,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,3,3,3,2,2,Robotics & Automation,Cloud Computing,,,,,,No,Yes,No,No,3,No,No,Yes,No,No,No,4,Real-Time Data Monitoring and Analytics,Automated Decision Support Systems,Scenario Planning and Simulation,Regulatory Compliance and Risk Management,Collaborative Decision-Making Frameworks,Ok,Nothing ,Yes,No,No,No,2,Ok,
21,,,en,877521008,,,medium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,en,364426011,,,medium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,en,331670082,,,medium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,2,en,772968137,Freight Forwarding Agents,Ops Executive ,large,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,No,No,Yes,Shipment movement like Routing re arranged ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,
25,1/1/1980 0:00,8,en,503815942,consumer goods,Other,large,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,No,No,Yes,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,4,4,4,4,4,4,AI,Cloud Computing,Big Data Analytics,IoT,wms,,,Yes,No,No,No,4,No,No,Yes,No,No,No,4,Collaborative Decision-Making Frameworks,Scenario Planning and Simulation,Real-Time Data Monitoring and Analytics,Automated Decision Support Systems,Regulatory Compliance and Risk Management,B,C,Yes,Yes,No,No,2,G,
26,,2,en,2051604117,automotive,TEAM LEADER LOGISTICS,medium,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Yes,No,No,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,2,1,3,2,3,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,
27,1/1/1980 0:00,8,en,1249156505,Oil and gas ,Modular fabrication ,large,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,No,Yes,No,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,1,1,1,3,3,AI,Big Data Analytics,Robotics & Automation,Blockchain,Cloud Computing,,,No,Yes,No,No,4,Yes,No,No,No,No,No,4,Real-Time Data Monitoring and Analytics,Automated Decision Support Systems,Scenario Planning and Simulation,Regulatory Compliance and Risk Management,Collaborative Decision-Making Frameworks,Nothing ,No,No,Yes,No,No,2,No,
28,1/1/1980 0:00,8,en,1623405075,automotive,LOGISTICS TEAM LEADER,medium,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Yes,No,No,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,2,2,3,3,Robotics & Automation,Big Data Analytics,AI,Cloud Computing,IoT,Blockchain,Simulation,Yes,Yes,Yes,Yes,5,Yes,No,No,No,No,No,4,Scenario Planning and Simulation,Real-Time Data Monitoring and Analytics,Regulatory Compliance and Risk Management,Collaborative Decision-Making Frameworks,Automated Decision Support Systems,.,.,Yes,Yes,Yes,Yes,2,"ROBOTICA AND AUTOMATION, ","advanced forecasting and reshoring tools, sustainability technology"
29,,,en,782150203,,,medium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,2,en,2037074788,Production -Chemical fertilizers,SUPERVISOR,large,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Yes,No,No,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1/1/1980 0:00,8,en,184196996,Chemical - FERTILIZERS,Supervisor,large,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Yes,No,No,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,1,1,1,2,1,AI,Robotics & Automation,IoT,Simulation,Cloud Computing,Big Data Analytics,Blockchain,Yes,Yes,Yes,No,2,No,No,Yes,No,No,No,3,Automated Decision Support Systems,Real-Time Data Monitoring and Analytics,Scenario Planning and Simulation,Collaborative Decision-Making Frameworks,Regulatory Compliance and Risk Management,Nil,Nil,Yes,No,No,No,2,Not yet,
32,1/1/1980 0:00,8,en,2116090403,consumer goods,Machine operator ,large,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,No,No,Yes,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,5,5,5,5,5,5,Robotics & Automation,Blockchain,Big Data Analytics,IoT,Simulation,AI,Cloud Computing,Yes,No,No,No,4,No,Yes,No,No,No,No,4,Real-Time Data Monitoring and Analytics,Scenario Planning and Simulation,Collaborative Decision-Making Frameworks,Automated Decision Support Systems,Regulatory Compliance and Risk Management,Yes ,Yes ,No,Yes,No,No,2,Yes ,
33,1/1/1980 0:00,8,de-easy,1849931561,electronics,Global head of planning,large,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Yes,Yes,Yes,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,3,4,1,1,4,4,Big Data Analytics,Simulation,AI,Robotics & Automation,Cloud Computing,IoT,Other,No,Yes,No,Yes,2,Yes,No,No,No,No,No,3,Regulatory Compliance and Risk Management,Scenario Planning and Simulation,Collaborative Decision-Making Frameworks,Automated Decision Support Systems,Real-Time Data Monitoring and Analytics,,,No,No,No,No,"Labor shortage, c-level knowledge in transformation",Ki ,3d printing
34,,2,en,279363455,consumer goods,Other,large,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,No,No,Yes,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1/1/1980 0:00,8,en,271181504,automotive,Production line leader ,medium,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,No,Yes,No,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,4,4,4,4,4,4,Robotics & Automation,,,,,,,No,No,Yes,No,4,No,No,No,No,Yes,No,4,Automated Decision Support Systems,,,,,Implementation ,Pdca,No,Yes,No,No,2,Robots ,
36,1/1/1980 0:00,8,en,541527733,consumer goods,Operator ,large,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,No,Yes,No,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,4,4,4,4,4,AI,Cloud Computing,Simulation,Robotics & Automation,Other,IoT,Big Data Analytics,No,Yes,No,No,4,No,No,No,No,Yes,No,4,Real-Time Data Monitoring and Analytics,Automated Decision Support Systems,Scenario Planning and Simulation,Collaborative Decision-Making Frameworks,Regulatory Compliance and Risk Management,Yes ,Yes ,No,Yes,No,No,2,Yes ,
37,1/1/1980 0:00,8,en,1971416267,consumer goods,IT Specialist,large,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,No,No,Yes,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,4,1,5,3,4,,,,,,,,Yes,No,No,No,4,No,No,No,No,Yes,No,4,,,,,,,,Yes,No,No,No,2,Yes,
38,,7,en,392198932,consumer goods,IT Specialist,large,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Yes,Yes,Yes,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,4,,,,,,Other,IoT,Robotics & Automation,Big Data Analytics,Blockchain,Simulation,Cloud Computing,No,Yes,No,No,4,No,No,Yes,No,No,No,4,,,,,,,,Yes,No,No,No,2,Yes ,
39,1/1/1980 0:00,8,en,1504073990,consumer goods,Supply Chain Manager,large,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Yes,Yes,Yes,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,2,2,5,4,4,Robotics & Automation,AI,Simulation,Cloud Computing,Big Data Analytics,IoT,Blockchain,No,No,Yes,Yes,3,Yes,No,Yes,No,No,No,3,Automated Decision Support Systems,Regulatory Compliance and Risk Management,Real-Time Data Monitoring and Analytics,Scenario Planning and Simulation,Collaborative Decision-Making Frameworks,,,No,Yes,No,Yes,2,,
40,1/1/1980 0:00,8,de-easy,1679940329,Sanitation-Heating-Air Conditioning,Supply Chain Manager,large,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Yes,Yes,No,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,1,1,3,3,3,Simulation,Big Data Analytics,Robotics & Automation,Other,IoT,Cloud Computing,Blockchain,Yes,No,Yes,No,4,Yes,No,No,No,No,Yes,4,Real-Time Data Monitoring and Analytics,Scenario Planning and Simulation,Regulatory Compliance and Risk Management,Collaborative Decision-Making Frameworks,,,"Price developments (raw material prices, tariffs, minimum wage, taxes, discounts, etc.)",Yes,Yes,No,No,2,Transport Management System (TMS),
41,1/1/1980 0:00,8,en,987407662,consumer goods,Technician,large,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,No,No,Yes,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,No,No,Yes,No,,No,No,No,No,Yes,No,4,,,,,,,,Yes,No,No,No,2,,
42,,3,de-easy,1298610726,Mechanical engineering,Head of Purchasing and Supplier Quality Development,medium,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Yes,No,No,Alternatives via prototypes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,1,1,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,
43,1/1/1980 0:00,8,de-easy,1502013715,food,Operations Manager,medium,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Yes,No,No,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,3,3,1,,,,,,,,Yes,No,No,No,4,No,No,No,No,No,No,,,,,,,,,Yes,No,No,No,2,No,
44,1/1/1980 0:00,8,en,1629640390,consumer goods,Operations Manager,large,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,No,No,Yes,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,4,5,,,5,,Big Data Analytics,AI,Robotics & Automation,IoT,Blockchain,Simulation,Cloud Computing,Yes,No,Yes,No,5,No,No,Yes,Yes,Yes,No,4,Automated Decision Support Systems,Scenario Planning and Simulation,Collaborative Decision-Making Frameworks,Regulatory Compliance and Risk Management,Real-Time Data Monitoring and Analytics,Asset management and warehouse selection,Feedback services based on real time data,Yes,Yes,Yes,No,2,Virtual reality ,can eradicate or limit the damage and error though and limit the depreciation in product value to enhance the gross domestic product
45,,,en,232646160,,,medium,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
